Ref,Val,Package,PosX,PosY,Rot,Side
"R6","5.62M","R_0603_1608Metric",123.130000,-64.855000,90.000000,bottom
"R7","374K","R_0603_1608Metric",111.590000,-61.630000,-90.000000,bottom
"R8","8.25M","R_0603_1608Metric",115.260000,-60.860000,0.000000,bottom
"R9","4.53M","R_0603_1608Metric",121.670000,-64.855000,90.000000,bottom
"R10","8.25M","R_0603_1608Metric",113.050000,-61.630000,-90.000000,bottom
"R11","4.75M","R_0603_1608Metric",113.800000,-59.180000,0.000000,bottom
"R12","0R","R_0603_1608Metric",107.520000,-71.950000,0.000000,bottom
"R13","0R","R_0603_1608Metric",105.870000,-71.950000,0.000000,bottom
"R14","DNI (0R)","R_0603_1608Metric",122.380195,-58.213600,0.000000,bottom
"R15","DNI (0R)","R_0603_1608Metric",121.670000,-61.890000,90.000000,bottom
"R16","0R","R_0603_1608Metric",123.130000,-61.890000,90.000000,bottom
"R17","0R","R_0603_1608Metric",107.520000,-70.490000,0.000000,bottom
"R18","0R","R_0603_1608Metric",105.870000,-70.490000,0.000000,bottom
"R19","DNI (0R)","R_0603_1608Metric",123.130000,-78.190000,90.000000,bottom
"R20","DNI (0R)","R_0603_1608Metric",113.000000,-78.190000,90.000000,bottom
"R21","680R","R_0603_1608Metric",117.720000,-77.525000,0.000000,bottom
"R22","100K","R_0603_1608Metric",123.130000,-81.155000,90.000000,bottom
"R23","10K","R_0603_1608Metric",117.720000,-80.445000,0.000000,bottom
"R24","10K","R_0603_1608Metric",117.720000,-76.065000,0.000000,bottom
"R25","200K","R_0603_1608Metric",117.720000,-78.985000,0.000000,bottom
"R26","680R","R_0603_1608Metric",107.525000,-77.525000,0.000000,bottom
"R27","100K","R_0603_1608Metric",113.000000,-81.155000,90.000000,bottom
"R28","10K","R_0603_1608Metric",107.525000,-80.445000,0.000000,bottom
"R29","10K","R_0603_1608Metric",107.525000,-76.065000,0.000000,bottom
"R30","200K","R_0603_1608Metric",107.525000,-78.985000,0.000000,bottom
"R31","10K","R_0603_1608Metric",91.880000,-81.110000,90.000000,bottom
"R32","4.7K","R_0603_1608Metric",94.090000,-81.860000,180.000000,bottom
"R33","100K","R_0603_1608Metric",94.090000,-80.370000,0.000000,bottom
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",128.900000,-44.300000,180.000000,bottom
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",128.900000,-88.700000,180.000000,bottom
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",84.500000,-44.300000,180.000000,bottom
"Ref**","Val**","pycubed_mini_half",106.800000,-44.600000,180.000000,bottom
"U1","BQ25570RGRR","QFN50P350X350X100-21N-D",118.090195,-57.543600,180.000000,bottom
"U3","MAX40200AUK","SOT-23-5",104.700000,-51.300000,180.000000,bottom
"C1","0.1uF","C_0402_1005Metric",110.035797,-45.330000,-90.000000,top
"H5","MountingHole_Pad","Antenna Mount",108.510000,-62.150000,0.000000,top
"H6","MountingHole_Pad","Antenna Mount",104.890000,-53.900000,180.000000,top
"JP1","BurnWire","Burn-Wire",105.240000,-62.150000,180.000000,top
"JP2","BurnWire","Burn-Wire",108.160000,-53.900000,180.000000,top
"R1","0R","R_0402_1005Metric",109.100000,-45.810000,-90.000000,top
"R2","0R","R_0402_1005Metric",109.100000,-44.790000,-90.000000,top
"R34","1R","R_1206_3216Metric",106.700000,-48.500000,180.000000,top
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",128.900000,-44.300000,0.000000,top
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",84.500000,-44.300000,0.000000,top
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",128.900000,-88.700000,0.000000,top
"Ref**","Val**","ypanel",106.080000,-86.563200,0.000000,top
"SC1","SolarCell_Small","KXOB25-05X3F",108.510000,-78.650000,0.000000,top
"SC2","SolarCell_Small","KXOB25-05X3F",108.510000,-70.400000,0.000000,top
"SC3","SolarCell_Small","KXOB25-05X3F",83.890000,-78.650000,0.000000,top
"SC4","SolarCell_Small","KXOB25-05X3F",83.890000,-70.400000,0.000000,top
"U2","OPT3001","OPT3001",106.700000,-45.300000,180.000000,top
